email,username,password,has_admin_privileges
admin@email.com,Administrador,12345678,True
john_doe@email.com,John Doe,12345678,False
jane_doe@email.com,Jane Doe,12345678,False
sandra_bullock@email.com,Sandra Bullock,12345678,False
paty_vitorino@email.com,Paty Vitorino,12345678,False
diego_saviato@email.com,Diego Saviato,12345678,False
erica_vitorino@email.com,Erica Vitorino,12345678,False
ramon_saviato@email.com,Ramon Saviato,12345678,False
andresa_saviato@email.com,Andresa Saviato,12345678,False
joão_da_silva@email.com,João da Silva,12345678,False
hemengarda_souza@email.com,Hemengarda Souza,12345678,False
josiscleusson_nunes@email.com,Josiscleusson Nunes,12345678,False
josisnelson_pereira@email.com,Josisnelson Pereira,12345678,False
creuza_costa@email.com,Creuza Costa,12345678,False
